fact_id,student_key,employer_key,contact_key,event_key,event_date_key,hire_date_key,alumni_employee_id_at_employer,participated_university_event_flag,participated_outside_event_flag,alumni_event_flag,applications_submitted,interviews_count,job_offers_count,hired_flag,donations_amount,mentorship_hours,referrals_made,engagement_score,job_role
1,1,1,1,1,20200101,20200105,EMP-00001-00001,0,1,0,2,1,1,1,7.33,0.8,1,1.90,"Data Analyst"
2,2,2,2,2,20200102,20200106,EMP-00002-00002,0,0,1,4,2,0,0,8.00,1.7,2,2.60,"Data Engineer"
3,3,3,3,3,20200103,20200107,EMP-00003-00003,1,0,0,3,3,0,0,8.67,2.5,0,2.70,"AI Engineer"
4,4,4,4,4,20200104,20200108,EMP-00004-00004,0,1,0,5,0,0,0,9.33,3.3,1,3.60,"ML Engineer"
5,5,5,5,5,20200105,20200109,EMP-00005-00005,0,0,1,2,1,1,1,10.00,4.2,2,4.30,"Data Scientist"
6,6,6,6,6,20200106,20200110,EMP-00006-00006,1,0,0,1,2,1,1,10.67,5.0,0,1.40,"Data Specialist"
7,7,7,7,7,20200107,20200111,EMP-00007-00007,0,1,0,3,3,1,0,11.33,5.8,1,1.30,"SecOps Engineer"
8,8,8,8,8,20200108,20200112,EMP-00008-00008,0,0,1,5,0,0,0,12.00,6.7,2,3.00,"Security Engineer"
9,9,9,9,9,20200109,20200113,EMP-00009-00009,1,0,0,4,1,0,0,12.67,7.5,0,3.10,"IAM Engineer"
10,10,10,10,10,20200110,20200114,EMP-00010-00010,0,1,0,1,2,1,1,13.33,8.3,1,3.00,"Cyber Professional"
11,11,11,11,11,20200111,20200115,EMP-00011-00011,0,0,1,3,3,1,1,14.00,9.2,2,4.70,SDET
12,12,12,12,12,20200112,20200116,EMP-00012-00012,1,0,0,2,0,0,0,14.67,0.0,0,0.80,"Software Test Engineer"
13,13,13,13,13,20200113,20200117,EMP-00013-00013,0,1,0,4,1,0,0,15.33,0.8,1,1.70,"Software Developer"
14,14,14,14,14,20200114,20200118,EMP-00014-00014,0,0,1,6,2,1,0,16.00,1.7,2,3.40,"Full Stack Developer"
15,15,15,15,15,20200115,20200119,EMP-00015-00015,1,0,0,0,3,1,1,16.67,2.5,0,2.50,"Java Developer"
16,16,16,16,16,20200116,20200120,EMP-00016-00016,0,1,0,2,0,1,1,17.33,3.3,1,3.40,"Python Developer"
17,17,17,17,17,20200117,20200121,EMP-00017-00017,0,0,1,4,1,0,0,18.00,4.2,2,4.10,"Power BI Developer"
18,18,18,18,18,20200118,20200122,EMP-00018-00018,1,0,0,3,2,0,0,18.67,5.0,0,1.20,"Statistics Engineer"
19,19,19,19,19,20200119,20200123,EMP-00019-00019,0,1,0,5,3,0,0,19.33,5.8,1,2.10,HR
20,20,20,20,20,20200120,20200124,EMP-00020-00020,0,0,1,2,0,1,1,20.00,6.7,2,2.80,"Business Analyst"
21,21,21,21,21,20200121,20200125,EMP-00021-00021,1,0,0,1,1,1,1,20.67,7.5,0,2.90,"Scrum Master"
22,22,22,22,22,20200122,20200126,EMP-00022-00022,0,1,0,3,2,0,0,21.33,8.3,1,2.80,"Test Engineer"
23,23,23,23,23,20200123,20200127,EMP-00023-00023,0,0,1,5,3,0,0,22.00,9.2,2,4.50,"Data Test Engineer"
24,24,24,24,24,20200124,20200128,EMP-00024-00024,1,0,0,4,0,0,0,22.67,0.0,0,1.60,"Project Manager"
25,25,25,25,25,20200125,20200129,EMP-00025-00025,0,1,0,1,1,1,1,23.33,0.8,1,1.50,"Data Analyst"
26,26,26,26,26,20200126,20200130,EMP-00026-00026,0,0,1,3,2,1,1,24.00,1.7,2,3.20,"Data Engineer"
27,27,27,27,27,20200127,20200131,EMP-00027-00027,1,0,0,2,3,0,0,24.67,2.5,0,2.30,"AI Engineer"
28,28,28,28,28,20200128,20200201,EMP-00028-00028,0,1,0,4,0,1,0,25.33,3.3,1,3.20,"ML Engineer"
29,29,29,29,29,20200129,20200202,EMP-00029-00029,0,0,1,6,1,0,0,26.00,4.2,2,4.90,"Data Scientist"
30,30,30,30,30,20200130,20200203,EMP-00030-00030,1,0,0,0,2,1,1,26.67,5.0,0,1.00,"Data Specialist"
31,31,31,31,31,20200131,20200204,EMP-00031-00031,0,1,0,2,3,1,1,27.33,5.8,1,1.90,"SecOps Engineer"
32,32,32,32,32,20200201,20200205,EMP-00032-00032,0,0,1,4,0,0,0,28.00,6.7,2,2.60,"Security Engineer"
33,33,33,33,33,20200202,20200206,EMP-00033-00033,1,0,0,3,1,0,0,28.67,7.5,0,2.70,"IAM Engineer"
34,34,34,34,34,20200203,20200207,EMP-00034-00034,0,1,0,5,2,0,0,29.33,8.3,1,3.60,"Cyber Professional"
35,35,35,35,35,20200204,20200208,EMP-00035-00035,0,0,1,2,3,1,1,30.00,9.2,2,4.30,SDET
36,36,36,36,36,20200205,20200209,EMP-00036-00036,1,0,0,1,0,1,1,30.67,0.0,0,1.40,"Software Test Engineer"
37,37,37,37,37,20200206,20200210,EMP-00037-00037,0,1,0,3,1,0,0,31.33,0.8,1,1.30,"Software Developer"
38,38,38,38,38,20200207,20200211,EMP-00038-00038,0,0,1,5,2,0,0,32.00,1.7,2,3.00,"Full Stack Developer"
39,39,39,39,39,20200208,20200212,EMP-00039-00039,1,0,0,4,3,0,0,32.67,2.5,0,3.10,"Java Developer"
40,40,40,40,40,20200209,20200213,EMP-00040-00040,0,1,0,1,0,1,1,33.33,3.3,1,3.00,"Python Developer"
41,41,41,41,41,20200210,20200214,EMP-00041-00041,0,0,1,3,1,1,1,34.00,4.2,2,4.70,"Power BI Developer"
42,42,42,42,42,20200211,20200215,EMP-00042-00042,1,0,0,2,2,1,0,34.67,5.0,0,0.80,"Statistics Engineer"
43,43,43,43,43,20200212,20200216,EMP-00043-00043,0,1,0,4,3,0,0,35.33,5.8,1,1.70,HR
44,44,44,44,44,20200213,20200217,EMP-00044-00044,0,0,1,6,0,0,0,36.00,6.7,2,3.40,"Business Analyst"
45,45,45,45,45,20200214,20200218,EMP-00045-00045,1,0,0,0,1,1,1,36.67,7.5,0,2.50,"Scrum Master"
46,46,46,46,46,20200215,20200219,EMP-00046-00046,0,1,0,2,2,1,1,37.33,8.3,1,3.40,"Test Engineer"
47,47,47,47,47,20200216,20200220,EMP-00047-00047,0,0,1,4,3,0,0,38.00,9.2,2,4.10,"Data Test Engineer"
48,48,48,48,48,20200217,20200221,EMP-00048-00048,1,0,0,3,0,0,0,38.67,0.0,0,1.20,"Project Manager"
49,49,49,49,49,20200218,20200222,EMP-00049-00049,0,1,0,5,1,1,0,39.33,0.8,1,2.10,"Data Analyst"
50,50,50,50,50,20200219,20200223,EMP-00050-00050,0,0,1,2,2,1,1,40.00,1.7,2,2.80,"Data Engineer"
51,51,51,51,51,20200220,20200224,EMP-00051-00051,1,0,0,1,3,1,1,40.67,2.5,0,2.90,"AI Engineer"
52,52,52,52,52,20200221,20200225,EMP-00052-00052,0,1,0,3,0,0,0,41.33,3.3,1,2.80,"ML Engineer"
53,53,53,53,53,20200222,20200226,EMP-00053-00053,0,0,1,5,1,0,0,42.00,4.2,2,4.50,"Data Scientist"
54,54,54,54,54,20200223,20200227,EMP-00054-00054,1,0,0,4,2,0,0,42.67,5.0,0,1.60,"Data Specialist"
55,55,55,55,55,20200224,20200228,EMP-00055-00055,0,1,0,1,3,1,1,43.33,5.8,1,1.50,"SecOps Engineer"
56,56,56,56,56,20200225,20200229,EMP-00056-00056,0,0,1,3,0,1,1,44.00,6.7,2,3.20,"Security Engineer"
57,57,57,57,57,20200226,20200301,EMP-00057-00057,1,0,0,2,1,0,0,44.67,7.5,0,2.30,"IAM Engineer"
58,58,58,58,58,20200227,20200302,EMP-00058-00058,0,1,0,4,2,0,0,45.33,8.3,1,3.20,"Cyber Professional"
59,59,59,59,59,20200228,20200303,EMP-00059-00059,0,0,1,6,3,0,0,46.00,9.2,2,4.90,SDET
60,60,60,60,60,20200229,20200304,EMP-00060-00060,1,0,0,0,0,1,1,46.67,0.0,0,1.00,"Software Test Engineer"
61,61,61,61,61,20200301,20200305,EMP-00061-00061,0,1,0,2,1,1,1,47.33,0.8,1,1.90,"Software Developer"
62,62,62,62,62,20200302,20200306,EMP-00062-00062,0,0,1,4,2,0,0,48.00,1.7,2,2.60,"Full Stack Developer"
63,63,63,63,63,20200303,20200307,EMP-00063-00063,1,0,0,3,3,1,0,48.67,2.5,0,2.70,"Java Developer"
64,64,64,64,64,20200304,20200308,EMP-00064-00064,0,1,0,5,0,0,0,49.33,3.3,1,3.60,"Python Developer"
65,65,65,65,65,20200305,20200309,EMP-00065-00065,0,0,1,2,1,1,1,50.00,4.2,2,4.30,"Power BI Developer"
