id,employer_key,event_key,participation_status,notes,requested_at,updated_at
1,1,1115,Approved,,2025-11-18T19:56:14.016Z,2025-11-19T20:32:34.759Z
2,1,1115,Rejected,,2025-11-18T19:56:17.967Z,2025-11-19T20:32:38.999Z
3,1,1114,Approved,,2025-11-18T19:56:57.283Z,2025-11-19T20:32:45.266Z
4,1,1113,Approved,,2025-11-18T21:56:25.634Z,2025-11-19T20:32:49.585Z
5,1,1113,Rejected,,2025-11-18T21:56:26.444Z,2025-11-19T20:32:50.762Z
6,1,1115,Rejected,,2025-11-18T21:56:34.807Z,2025-11-19T20:32:55.403Z
7,1,1140,Rejected,,2025-11-18T21:56:38.185Z,2025-11-19T20:32:56.713Z
8,1,1113,Rejected,,2025-11-18T22:28:05.414Z,2025-11-19T20:32:58.064Z
9,1,1113,Rejected,,2025-11-18T22:28:33.299Z,2025-11-19T20:32:59.071Z
10,1,1115,Rejected,,2025-11-19T00:25:29.900Z,2025-11-19T20:33:01.150Z
11,1,1114,Rejected,,2025-11-19T00:25:31.522Z,2025-11-19T20:33:01.962Z
12,1,1113,Rejected,,2025-11-19T00:35:19.008Z,2025-11-19T20:33:03.330Z
13,1,1115,Rejected,,2025-11-19T04:40:53.972Z,2025-11-19T20:33:04.444Z
14,1,1113,Rejected,,2025-11-19T20:16:34.543Z,2025-11-19T20:33:05.442Z
15,1,1113,Requested,,2025-11-19T20:40:01.428Z,2025-11-19T20:40:01.428Z
16,1,1114,Approved,,2025-11-23T06:24:58.084Z,2025-11-23T06:26:44.769Z
